@relation names

@attribute id numeric
@attribute name {"Neela Khan","Bir Bhanu","Robert C. Holte","Michele Sebag","Jorg-Uwe Kietz","Yoshifumi Sakai","Yoav Freund","Jonathan Gratch","Margo Guertin","Huw Roberts","Sally Goldman","Fernando Pereira","Nina Mishra","William A. Greene","Yolanda Gil","Sanjay Jain","Dwight Schrute","Leslie Pack Kaelbling","Yishay Mansour","Michael I. Jordan","Patrick M. Murphy","Karsten Verbeurgt","Gerald F. DeJong","Mandayam T. Suraj","Michael Littman","Cullen Schaffer","Roberto Piola","Nader Bshouty","Kamal M. Ali","Foster J. Provost","Wolfgang Janko","Seth Flanders","Peter Bartlett","Earl S. Harris Jr.","Pascal Koiran","Sandra Panizza","George Berg","Sebastian Seung","Susan L. Epstein","Lance Riley","Jose L. Balcazar","William Sakas","Vijay Raghavan","Bob Evans","Neil Berkman","Masayuki Inaba","Dan Roth","Lisa Hellerstein","Geoffrey Gordon","Paul Vitanyi","Jeff Jackson","Matthias Heger","Nicolo Cesa-Bianchi","David Montgomery","Patricia J. Riddle","Kazushi Ikeda","Pang-Chieh Chen","Paul Utgoff","Joseph O'Sullivan","Toshiyasu Matsushima","Timothy P. Barber","Tal Grossman","Donna Slonim","Tatsuo Unemi","Lorenza Saitta","Jude Shavlik","David Helmbold","Tom Hancock","Gary Weiss","Kenji Yamanishi","Wan P. Chiang","Yoram Singer","Melinda T. Gervasio","Kate Goelz","Roni Khardon","Nikolay Nikolaev","George H. John","Diana Gordon","Moshe Koppel","Andy Bernard","Marcos Salganicoff","David W. Opitz","Mark Changizi","Lars Asker","Dana Ron","Mark Schwabacher","Carl H. Smith","Wee Sun Lee","Mario Marchand","David Pierce","Dan Oblinger","Hiroshi Tanaka","Johanne Morin","Mark W. Craven","Tom Fawcett","John R. Rose","Richard A. Caruana","Barak A. Pearlmutter","Judy A. Franklin","Xuemei Wang","Nitin Indurkhya","Takefumi Yamazaki","Satinder Pal Singh","Ron Kohavi","Michael de la Maza","Robert Sloan","Daniel Kortenkamp","Ricard Gavalda","Joe Suzuki","James S. Royer","Tapio Elomaa","Michael Redmond","Rich Maclin","Jiarong Hong","Janusz Wnek","David B. Skalak","Daniel Hennessy","David Cohn","Merrick L. Furst","Lindley Darden","Wai Lam","Paul W. Goldberg","Jason Catlett","Justinian Rosca","Richard S. Sutton","Michael W. Barley","Leslie Grate","Nathalie Japkowicz","Randolph Jones","John Rachlin","Moshe Leshno","Darko Zupanic","Michael Kearns","Holly Yanco","Tom Bylander","Johannes Furnkranz","Pat Langley","Javed Aslam","Jean Gabriel Ganascia","Sean Slattery","Michael A. meystel","David Gillman","Matevz Kovacic","Bala Kalyanasundaram","Martin Kummer","Manfred Warmuth","David Mathias","Nicolas Fiechter","Aurora Perez","Naoki Abe","Kimmen Sjolander","Jeffery Clouse","Robert P. Daley","William Gasarch","Reinhard Blasig","Malini Bhandaru","Robert Schapire","Gary M. Selzer","Martinch Krikis","John Case","Lance Fortnow","Lorien Y. Pratt","Haralabos Athanassiou","Paul Fischer","Hal Duncan","Von-Wun Soo","Bill Byrne","Creed Bratton","Minoru Asada","Tom M. Mitchell","Jean-Daniel Zucker","Sonya Snedecor","Dana Angluin","Wolfgang Maass","Marko Grobelnik","Mary Soon Lee","Mona Singh","Justin Boyan","Daniel L. Silver","David W. Aha","Robert S. Roos","David Loewenstern","John M. Zelle","Ronitt Rubinfeld","Aaron Feigelson","Harris Drucker","Carla E. Brodley","Maja Mataric","Leonard Pitt","Long-Ji Lin","Welton Becket","Haym Hirsh","Hiroshi Motoda","John Fischer","George A. Drastal","William Cohen","Jing Peng","David Haussler","Joel Ratsaby","Kan Deng","Russell Greiner","Dunja Mladenic","Jong-Hoon Oh","Ken Lang","Bernhard Pfahringer","Ronald L. Rivest","Robert Williamson","David Finton","Mark Staley","Filippo Neri","Jonathan Hodgson","Dennis F. Kibler","Michael J. Donahue","Ed Pednault","Arlindo Oliveira","Irina Tchoumatchenko","Thomas E. Kammeyer","R. Andrew McCallum","Bhaskar Dasgupta","Wray Buntine","Chris Drummond","Claude Sammut","Charles X. Ling","Stefan Kramer","Cristina Baroglio","Philip Chan","Attilio Giordana","Thomas Zeugmann","Shaul Markovitch","Eric Allender","Bruce A. MacDonald","Craig Knoblock","Prasad Tadepalli","Stan Matwin","Stephen Kwek","J. R. Quinlan","Priscilla Rasmussen","Steven Minton","Claudio Facchinetti","Shai Ben-David","Anselm Blumer","Steven W. Norton","R. Bharat Rao","J. Jeffrey Mahoney","Thomas G. Dietterich","Phil Long","Krishnan Pillaipakkamnatt","Usama Fayyad","Grigoris Karakoulas","Drago Indjic","Frank Stephan","Claire Cardie","Andrey Burago","Eddy Mayoraz","Lyle H. Ungar","Thomas Wengerek","Steven Salzberg","Chris Darken","Oded Maron","Chun-Nan Hsu","Jyrki Kivinen","Steve A. Chien","Stephen Muggleton","Sreerama K. Murthy","Emanuel Knill","Sholom Weiss","Thomas G. Spalthoff","Olivier De Vel","Brian D. Davidson","Brian Tester","Michael Scott","Clare Bates Congdon","Klaus P. Jantke","Bradley L. Whitehall","Sridhar Mahadevan","Craig Nevill-Manning","Myriam Abramson","Glenn Silverstein","Avrim Blum","Scott E. Decatur","Chidanand Apte","Zhixiang Chen","Eric Baum","Arun Sharma","Thomas Ellman","Alexander M. Meystel","Eyal Kushilevitz","Ameur Foued","Antoine Cornuejols","Alma Whitten","L. Thorne McCarty","Chen K. Tham","Steffen Lange","Andrew W. Moore","Armand Prieditis","Stuart Russell","Andrew Y. Ng","Efim Kinber"}
@attribute firstNameCharCount numeric
@attribute lastNameCharCount numeric
@attribute nameCharCount numeric
@attribute firstNameFirstChar { "N","B","R","M","J","Y","H","S","F","W","D","L","P","K","G","C","E","V","T","A","X","I","U","O","Z" } 
@attribute firstNameLastChar { "a","r","t","e","i","v","n","o","w","y","m","l","k","d","g","h","b","f","s","u","z", 0 ,"p","c" } 
@attribute lastNameFirstChar { "K","B","H","S","F","G","R","P","M","J","V","D","L","A","E","I","C","U","O","W","Y","N","T","l","Z","m","Q" } 
@attribute lastNameLastChar { "h","e","i","a","r","u","o","c","g","n","y","j","s","t","l","v","k","'","z","b","f","m","d","w","p" } 
@attribute firstNameVowelCount numeric
@attribute lastNameVowelCount numeric
@attribute nameVowelCount numeric
@attribute middleNameCharCount numeric
@attribute middleNameFirstChar {"","C","A","P","I","M","F","T","J","S","L","H","W","R","d","B","G","Y","E","X","K","D"} 
@attribute middleNameLastChar {"C","A","k","I","M","F","T","J","S","L","P","H","W","n","R","l","e","B","Y","E","w","X","t","y","G","K","D","s",""}
@attribute middleNameVowelCount numeric
@attribute label { "winner","loser" } 


@data
1,"Neela Khan",5,4,9,"N","a","K","h",2,1,3,0,"","",0,"winner"
2 ,"Bir Bhanu", 3 , 5 , 8 ,"B","r","B","h", 1 , 2 , 3 , 0 ,"","", 0 ,"winner" 
3 ,"Robert C. Holte", 6 , 5 , 12 ,"R","t","H","e", 2 , 2 , 4 , 1 ,"C","C", 0 ,"winner" 
4 ,"Michele Sebag", 7 , 5 , 12 ,"M","e","S","e", 3 , 2 , 5 , 0 ,"","", 0 ,"winner" 
5 ,"Jorg-Uwe Kietz", 8 , 5 , 13 ,"J","e","K","i", 2 , 1 , 3 , 0 ,"","", 0 ,"winner" 
6 ,"Yoshifumi Sakai", 9 , 5 , 14 ,"Y","i","S","a", 4 , 2 , 6 , 0 ,"","", 0 ,"winner" 
7 ,"Yoav Freund", 4 , 6 , 10 ,"Y","v","F","r", 1 , 1 , 2 , 0 ,"","", 0 ,"winner" 
8 ,"Jonathan Gratch", 8 , 6 , 14 ,"J","n","G","r", 3 , 1 , 4 , 0 ,"","", 0 ,"winner" 
9 ,"Margo Guertin", 5 , 7 , 12 ,"M","o","G","u", 2 , 2 , 4 , 0 ,"","", 0 ,"winner" 
10 ,"Huw Roberts", 3 , 7 , 10 ,"H","w","R","o", 1 , 2 , 3 , 0 ,"","", 0 ,"winner" 
11 ,"Sally Goldman", 5 , 7 , 12 ,"S","y","G","o", 1 , 2 , 3 , 0 ,"","", 0 ,"winner" 
12 ,"Fernando Pereira", 8 , 7 , 15 ,"F","o","P","e", 3 , 3 , 6 , 0 ,"","", 0 ,"winner" 
13 ,"Nina Mishra", 4 , 6 , 10 ,"N","a","M","i", 2 , 2 , 4 , 0 ,"","", 0 ,"winner" 
14 ,"William A. Greene", 7 , 6 , 14 ,"W","m","G","e", 2 , 2 , 4 , 1 ,"A","A", 0 ,"winner" 
15 ,"Yolanda Gil", 7 , 3 , 10 ,"Y","a","G","i", 3 , 1 , 4 , 0 ,"","", 0 ,"winner" 
16 ,"Sanjay Jain", 6 , 4 , 10 ,"S","y","J","a", 2 , 1 , 3 , 0 ,"","", 0 ,"winner" 
17 ,"Dwight Schrute", 6 , 7 , 13 ,"D","t","S","c", 1 , 2 , 3 , 0 ,"","", 0 ,"winner" 
18 ,"Leslie Pack Kaelbling", 6 , 9 , 19 ,"L","e","K","g", 2 , 2 , 5 , 4 ,"P","k", 1 ,"winner" 
19 ,"Yishay Mansour", 6 , 7 , 13 ,"Y","y","M","a", 2 , 2 , 4 , 0 ,"","", 0 ,"winner" 
20 ,"Michael I. Jordan", 7 , 6 , 14 ,"M","l","J","n", 2 , 2 , 4 , 1 ,"I","I", 0 ,"winner" 
21 ,"Patrick M. Murphy", 7 , 6 , 14 ,"P","k","M","y", 2 , 1 , 3 , 1 ,"M","M", 0 ,"winner" 
22 ,"Karsten Verbeurgt", 7 , 9 , 16 ,"K","n","V","e", 2 , 2 , 4 , 0 ,"","", 0 ,"winner" 
23 ,"Gerald F. DeJong", 6 , 6 , 13 ,"G","d","D","g", 2 , 2 , 4 , 1 ,"F","F", 0 ,"winner" 
24 ,"Mandayam T. Suraj", 8 , 5 , 14 ,"M","m","S","j", 3 , 2 , 5 , 1 ,"T","T", 0 ,"winner" 
25 ,"Michael Littman", 7 , 7 , 14 ,"M","l","L","i", 2 , 2 , 4 , 0 ,"","", 0 ,"winner" 
26 ,"Cullen Schaffer", 6 , 8 , 14 ,"C","n","S","c", 2 , 2 , 4 , 0 ,"","", 0 ,"winner" 
27 ,"Roberto Piola", 7 , 5 , 12 ,"R","o","P","i", 3 , 2 , 5 , 0 ,"","", 0 ,"winner" 
28 ,"Nader Bshouty", 5 , 7 , 12 ,"N","r","B","s", 2 , 1 , 3 , 0 ,"","", 0 ,"winner" 
29 ,"Kamal M. Ali", 5 , 3 , 9 ,"K","l","A","i", 2 , 1 , 3 , 1 ,"M","M", 0 ,"winner" 
30 ,"Foster J. Provost", 6 , 7 , 14 ,"F","r","P","t", 2 , 2 , 4 , 1 ,"J","J", 0 ,"winner" 
31 ,"Wolfgang Janko", 8 , 5 , 13 ,"W","g","J","a", 2 , 2 , 4 , 0 ,"","", 0 ,"winner" 
32 ,"Seth Flanders", 4 , 8 , 12 ,"S","h","F","l", 1 , 2 , 3 , 0 ,"","", 0 ,"winner" 
33 ,"Peter Bartlett", 5 , 8 , 13 ,"P","r","B","a", 2 , 2 , 4 , 0 ,"","", 0 ,"winner" 
34 ,"Earl S. Harris Jr.", 4 , 6 , 11 ,"E","l","H","s", 1 , 2 , 3 , 1 ,"S","S", 0 ,"winner" 
35 ,"Pascal Koiran", 6 , 6 , 12 ,"P","l","K","o", 2 , 2 , 4 , 0 ,"","", 0 ,"winner" 
36 ,"Sandra Panizza", 6 , 7 , 13 ,"S","a","P","a", 2 , 3 , 5 , 0 ,"","", 0 ,"winner" 
37 ,"George Berg", 6 , 4 , 10 ,"G","e","B","e", 2 , 1 , 3 , 0 ,"","", 0 ,"winner" 
38 ,"Sebastian Seung", 9 , 5 , 14 ,"S","n","S","e", 3 , 1 , 4 , 0 ,"","", 0 ,"winner" 
39 ,"Susan L. Epstein", 5 , 7 , 13 ,"S","n","E","n", 2 , 1 , 3 , 1 ,"L","L", 0 ,"winner" 
40 ,"Lance Riley", 5 , 5 , 10 ,"L","e","R","i", 2 , 2 , 4 , 0 ,"","", 0 ,"winner" 
41 ,"Jose L. Balcazar", 4 , 8 , 13 ,"J","e","B","r", 2 , 3 , 5 , 1 ,"L","L", 0 ,"winner" 
42 ,"William Sakas", 7 , 5 , 12 ,"W","m","S","a", 2 , 2 , 4 , 0 ,"","", 0 ,"winner" 
43 ,"Vijay Raghavan", 5 , 8 , 13 ,"V","y","R","a", 2 , 3 , 5 , 0 ,"","", 0 ,"winner" 
44 ,"Bob Evans", 3 , 5 , 8 ,"B","b","E","v", 1 , 1 , 2 , 0 ,"","", 0 ,"winner" 
45 ,"Neil Berkman", 4 , 7 , 11 ,"N","l","B","e", 1 , 2 , 3 , 0 ,"","", 0 ,"winner" 
46 ,"Masayuki Inaba", 8 , 5 , 13 ,"M","i","I","n", 4 , 2 , 6 , 0 ,"","", 0 ,"winner" 
47 ,"Dan Roth", 3 , 4 , 7 ,"D","n","R","o", 1 , 1 , 2 , 0 ,"","", 0 ,"winner" 
48 ,"Lisa Hellerstein", 4 , 11 , 15 ,"L","a","H","e", 2 , 3 , 5 , 0 ,"","", 0 ,"winner" 
49 ,"Geoffrey Gordon", 8 , 6 , 14 ,"G","y","G","o", 2 , 2 , 4 , 0 ,"","", 0 ,"winner" 
