id,name,secondLetterVowel,label
1,"Neela Khan",1,winner
2,"Bir Bhanu",1,winner
3,"Robert C. Holte",1,winner
4,"Michele Sebag",1,winner
5,"Jorg-Uwe Kietz",1,winner
6,"Yoshifumi Sakai",1,winner
7,"Yoav Freund",1,winner
8,"Jonathan Gratch",1,winner
9,"Margo Guertin",1,winner
10,"Huw Roberts",1,winner
11,"Sally Goldman",1,winner
12,"Fernando Pereira",1,winner
13,"Nina Mishra",1,winner
14,"William A. Greene",1,winner
15,"Yolanda Gil",1,winner
16,"Sanjay Jain",1,winner
17,"Dwight Schrute",0,winner
18,"Leslie Pack Kaelbling",1,winner
19,"Yishay Mansour",1,winner
20,"Michael I. Jordan",1,winner
21,"Patrick M. Murphy",1,winner
22,"Karsten Verbeurgt",1,winner
23,"Gerald F. DeJong",1,winner
24,"Mandayam T. Suraj",1,winner
25,"Michael Littman",1,winner
26,"Cullen Schaffer",1,winner
27,"Roberto Piola",1,winner
28,"Nader Bshouty",1,winner
29,"Kamal M. Ali",1,winner
30,"Foster J. Provost",1,winner
31,"Wolfgang Janko",1,winner
32,"Seth Flanders",1,winner
33,"Peter Bartlett",1,winner
34,"Earl S. Harris Jr.",1,winner
35,"Pascal Koiran",1,winner
36,"Sandra Panizza",1,winner
37,"George Berg",1,winner
38,"Sebastian Seung",1,winner
39,"Susan L. Epstein",1,winner
40,"Lance Riley",1,winner
41,"Jose L. Balcazar",1,winner
42,"William Sakas",1,winner
43,"Vijay Raghavan",1,winner
44,"Bob Evans",1,winner
45,"Neil Berkman",1,winner
46,"Masayuki Inaba",1,winner
47,"Dan Roth",1,winner
48,"Lisa Hellerstein",1,winner
49,"Geoffrey Gordon",1,winner
50,"Paul Vitanyi",1,winner
51,"Jeff Jackson",1,winner
52,"Matthias Heger",1,winner
53,"Nicolo Cesa-Bianchi",1,winner
54,"David Montgomery",1,winner
55,"Patricia J. Riddle",1,winner
56,"Kazushi Ikeda",1,winner
57,"Pang-Chieh Chen",1,winner
58,"Paul Utgoff",1,winner
59,"Joseph O'Sullivan",1,winner
60,"Toshiyasu Matsushima",1,winner
61,"Timothy P. Barber",1,winner
62,"Tal Grossman",1,winner
63,"Donna Slonim",1,winner
64,"Tatsuo Unemi",1,winner
65,"Lorenza Saitta",1,winner
66,"Jude Shavlik",1,winner
67,"David Helmbold",1,winner
68,"Tom Hancock",1,winner
69,"Gary Weiss",1,winner
70,"Kenji Yamanishi",1,winner
71,"Wan P. Chiang",1,winner
72,"Yoram Singer",1,winner
73,"Melinda T. Gervasio",1,winner
74,"Kate Goelz",1,winner
75,"Roni Khardon",1,winner
76,"Nikolay Nikolaev",1,winner
77,"George H. John",1,winner
78,"Diana Gordon",1,winner
79,"Moshe Koppel",1,winner
80,"Andy Bernard",0,winner
81,"Marcos Salganicoff",1,winner
82,"David W. Opitz",1,winner
83,"Mark Changizi",1,winner
84,"Lars Asker",1,winner
85,"Dana Ron",1,winner
86,"Mark Schwabacher",1,winner
87,"Carl H. Smith",1,winner
88,"Wee Sun Lee",1,winner
89,"Mario Marchand",1,winner
90,"David Pierce",1,winner
91,"Dan Oblinger",1,winner
92,"Hiroshi Tanaka",1,winner
93,"Johanne Morin",1,winner
94,"Mark W. Craven",1,winner
95,"Tom Fawcett",1,winner
96,"John R. Rose",1,winner
97,"Richard A. Caruana",1,winner
98,"Barak A. Pearlmutter",1,winner
99,"Judy A. Franklin",1,winner
100,"Xuemei Wang",1,winner
101,"Nitin Indurkhya",1,winner
102,"Takefumi Yamazaki",1,winner
103,"Satinder Pal Singh",1,winner
